p11,p22
428,456
815,214
428,396
456,388
639,7
538,296
307,402
175,179
634,777
573,276
422,615
409,387
505,638
39,669
53,560
575,66
319,705
740,714
312,694
615,573
113,766
512,635
387,249
448,548
409,832
646,777
29,36
157,35
642,222
68,111
456,163
538,668
388,489
296,227
639,634
428,657
7,536
396,88
654,801
743,299
657,117
536,123
489,570
88,782
634,715
296,45
428,369
538,242
456,704
639,315
227,14
163,630
396,365
7,662
388,366
668,335
712,210
498,317
209,544
402,189
620,99
654,106
573,777
387,615
409,276
634,422
55,158
795,39
542,675
232,173
78,160
747,699
722,719
275,155
694,108
319,259
660,740
312,651
272,714
693,549
573,778
634,512
409,447
615,609
634,248
591,630
214,7
646,512
33,139
233,181
147,843
255,621
529,752
813,470
430,829
196,820
650,69
218,757
503,94
575,35
51,135
777,276
409,615
634,387
573,422
538,315
722,675
78,275
173,699
615,115
157,287
618,34
763,68
495,288
548,550
832,64
573,408
248,543
425,387
646,609
113,422
635,268
448,450
777,276
512,423
409,80
634,415
766,784
249,410
538,315
747,319
740,719
155,694
609,410
646,115
777,302
387,422
33,7
162,337
259,693
108,312
714,660
199,200
634,615
422,276
409,777
573,387
214,591
538,315
656,175
232,651
542,549
272,160
512,635
615,410
634,10
609,777
448,646
409,387
591,630
707,489
415,837
417,769
413,423
646,787
422,166
276,637
450,406
414,10
615,249
603,268
548,114
421,609
410,109
252,508
635,770
387,766
448,246
550,248
115,573
777,816
778,116
408,831
647,790
784,835
543,80
302,844
826,545
255,581
754,19
538,33
339,633
369,317
174,544
282,326
717,702
545,687
531,110
106,712
737,701
57,578
531,233
538,481
803,158
573,248
778,422
19,620
646,512
609,291
761,45
662,162
209,654
317,544
638,152
650,238
503,664
175,255
111,575
465,556
7,581
292,555
144,198
615,448
276,548
662,630
722,740
319,699
275,694
801,210
498,712
36,624
496,90
33,591
276,787
80,778
609,76
450,768
423,417
408,831
268,116
248,816
115,413
249,246
425,406
548,790
113,769
415,603
766,508
832,302
630,488
78,693
675,714
312,173
777,790
422,769
646,787
387,448
410,249
115,413
302,415
488,597
651,660
272,259
108,549
419,513
147,500
307,168
548,635
422,451
615,646
448,418
276,769
428,123
364,337
160,719
232,155
747,542
428,597
123,456
428,590
456,668
123,12
597,639
646,512
710,106
620,19
101,506
218,43
630,829
402,238
39,20
203,150
591,45
777,635
387,646
448,784
276,508
418,417
548,410
769,265
615,423
7,33
214,168
470,851
139,144
53,686
19,101
620,506
693,155
719,714
747,312
801,712
209,498
575,286
35,466
624,642
609,414
113,265
76,130
406,351
816,835
413,622
268,114
790,281
415,780
302,837
246,844
766,426
768,72
603,10
423,50
787,291
651,722
275,549
272,699
317,801
387,64
609,508
115,409
769,450
777,276
302,548
413,406
646,281
415,414
448,417
790,268
787,265
291,423
249,778
410,615
382,365
176,335
173,259
108,675
78,660
51,175
546,528
387,276
382,78
635,418
646,508
777,417
784,248
448,778
548,415
423,249
410,406
769,302
265,414
615,408
806,162
591,490
199,196
694,542
319,579
740,232
33,214
69,528
42,97
45,432
190,264
255,277
630,529
620,19
818,39
51,402
33,591
575,401
54,111
382,390
290,793
593,395
117,106
517,19
639,165
782,655
296,41
488,317
315,162
536,366
134,15
829,192
210,209
712,544
387,448
815,528
255,503
101,292
795,518
276,778
508,248
635,265
777,302
646,784
615,268
418,414
408,407
249,543
415,246
410,281
423,832
548,606
406,831
382,177
117,704
395,620
517,110
290,754
19,233
593,450
106,107
793,849
761,45
162,282
366,733
317,158
315,375
450,645
849,2
19,523
110,1
107,638
395,471
754,709
704,502
323,677
461,510
800,374
429,284
417,769
512,646
315,657
55,365
366,707
233,696
414,615
650,153
815,463
402,147
99,22
620,192
7,630
635,408
418,268
769,543
248,831
387,415
276,606
784,410
646,281
448,246
417,249
302,423
508,406
777,832
778,548
662,668
485,255
591,33
181,633
366,226
315,631
719,549
155,651
272,747
151,595
45,664
203,474
657,283
365,717
668,597
662,428
259,542
108,232
660,579
177,336
265,116
790,426
302,784
409,780
422,606
615,550
64,10
406,635
609,512
423,589
646,832
777,543
414,452
778,614
448,573
317,337
158,531
